gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
1.73,1.30,-0.35,0.81,-0.08,0.68
2.03,0.96,-0.35,0.81,-0.08,0.68
2.14,0.49,-0.32,0.81,-0.09,0.67
2.08,0.40,0.27,0.80,-0.09,0.68
2.00,0.87,0.63,0.80,-0.09,0.68
2.08,1.66,0.84,0.80,-0.09,0.68
1.63,1.76,0.93,0.81,-0.10,0.69
1.36,1.54,1.15,0.80,-0.09,0.68
1.60,1.33,0.99,0.80,-0.09,0.68
1.66,1.73,1.18,0.80,-0.09,0.68
1.92,1.80,1.83,0.80,-0.09,0.69
1.94,2.15,2.41,0.80,-0.09,0.69
1.57,2.14,2.24,0.81,-0.09,0.68
1.50,1.65,2.17,0.81,-0.09,0.69
1.50,1.56,1.92,0.80,-0.08,0.69
1.47,2.00,2.35,0.80,-0.08,0.68
1.73,2.43,2.52,0.79,-0.09,0.68
1.97,2.18,2.38,0.80,-0.09,0.68
1.92,1.56,1.92,0.80,-0.09,0.68
1.77,1.25,1.10,0.79,-0.09,0.68
2.03,1.05,1.37,0.79,-0.09,0.69
2.31,0.87,1.16,0.80,-0.09,0.68
1.83,0.64,0.40,0.81,-0.08,0.69
1.63,0.31,-0.56,0.80,-0.09,0.68
2.12,-0.18,-1.08,0.80,-0.09,0.69
2.23,-1.27,-1.69,0.80,-0.09,0.69
2.67,-1.02,-2.06,0.79,-0.09,0.68
3.08,-1.10,-2.75,0.79,-0.08,0.68
4.08,-1.88,-3.69,0.80,-0.08,0.68
4.40,-2.21,-3.05,0.80,-0.08,0.67
4.66,-5.25,-3.91,0.80,-0.04,0.65
5.27,-4.98,-2.72,0.80,-0.06,0.68
8.60,-4.21,-1.97,0.80,-0.07,0.67
9.01,-4.55,-2.20,0.80,-0.05,0.67
8.43,-5.25,-2.81,0.81,-0.07,0.68
9.74,-4.78,-2.15,0.80,-0.07,0.67
7.74,-11.63,-12.61,0.77,-0.04,0.67
9.86,-7.83,-12.72,0.82,-0.09,0.69
10.02,-0.96,3.95,0.84,-0.08,0.68
7.01,-0.93,9.66,0.82,-0.11,0.66
12.03,6.96,12.23,0.80,-0.08,0.66
3.95,4.02,13.40,0.80,-0.06,0.69
-2.08,2.66,14.79,0.83,-0.10,0.68
-3.77,1.86,14.78,0.82,-0.10,0.69
-3.44,-0.40,10.46,0.79,-0.11,0.71
-0.85,4.27,11.77,0.79,-0.11,0.71
-4.60,1.30,9.63,0.79,-0.13,0.69
-5.21,1.83,8.49,0.80,-0.12,0.69
-4.00,1.25,8.90,0.81,-0.10,0.68
-3.36,1.69,8.82,0.81,-0.11,0.69
-4.21,1.80,8.72,0.81,-0.11,0.70
-5.39,2.23,7.59,0.80,-0.11,0.70
-5.51,1.24,6.23,0.80,-0.11,0.67
-6.66,-1.45,6.49,0.80,-0.08,0.68
-8.56,-1.68,10.00,0.82,-0.10,0.69
-9.60,-1.77,12.66,0.82,-0.12,0.69
-9.60,-1.66,13.37,0.81,-0.13,0.68
-9.13,-2.98,11.66,0.80,-0.10,0.67
-8.34,-2.31,10.92,0.80,-0.12,0.68
-6.84,-2.23,12.11,0.80,-0.10,0.69
-10.60,-2.67,13.76,0.82,-0.12,0.69
-11.60,-3.62,14.20,0.80,-0.11,0.67
-9.60,-4.90,11.62,0.79,-0.11,0.66
-9.91,-6.81,10.87,0.79,-0.12,0.67
-9.62,-7.33,1.92,0.77,-0.10,0.68
-7.28,-4.32,5.80,0.82,-0.15,0.69
-10.06,-7.59,4.82,0.80,-0.12,0.67
-9.15,-7.57,3.91,0.79,-0.14,0.67
-8.03,-6.64,5.47,0.82,-0.15,0.68
-7.65,-5.83,3.59,0.79,-0.15,0.67
-6.70,-4.24,3.24,0.80,-0.16,0.67
-4.78,-3.77,0.99,0.80,-0.15,0.66
-4.05,-1.85,2.44,0.83,-0.15,0.67
-3.85,-2.92,1.88,0.80,-0.15,0.67
-1.05,-2.44,1.15,0.80,-0.14,0.66
0.44,-1.13,1.92,0.80,-0.16,0.67
