gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0.96,-0.05,0.37,0.80,-0.01,0.69
1.91,-0.08,0.00,0.80,0.00,0.69
1.44,-0.15,-0.72,0.80,-0.01,0.68
1.11,0.08,0.14,0.80,-0.00,0.68
1.18,-0.03,0.38,0.80,-0.00,0.70
1.28,0.14,-0.03,0.80,-0.00,0.69
0.66,-0.03,0.24,0.80,-0.01,0.70
0.99,-0.12,-0.17,0.80,-0.00,0.69
1.05,0.02,0.32,0.79,-0.00,0.69
1.15,0.20,0.17,0.79,-0.00,0.70
1.47,0.44,0.21,0.79,0.00,0.69
1.65,0.85,0.58,0.80,-0.00,0.69
1.80,1.02,0.47,0.80,0.00,0.69
1.95,1.10,0.44,0.80,0.00,0.70
2.09,0.93,0.21,0.80,0.00,0.69
2.17,0.60,0.18,0.81,0.00,0.68
1.39,-0.02,0.17,0.80,-0.00,0.70
1.05,-0.32,-0.72,0.80,-0.00,0.69
1.98,0.17,-0.17,0.80,-0.00,0.68
2.12,0.31,0.84,0.81,-0.00,0.69
1.04,-0.24,0.23,0.80,-0.00,0.70
1.13,-0.38,-0.56,0.79,-0.00,0.68
1.40,-0.06,-0.18,0.79,0.00,0.69
1.36,0.11,0.00,0.80,-0.00,0.69
0.92,0.23,-0.17,0.80,-0.00,0.69
1.27,0.23,-0.49,0.80,-0.00,0.70
1.45,0.20,-0.55,0.80,0.00,0.69
1.50,0.41,-0.26,0.80,0.00,0.69
1.57,0.14,-0.40,0.80,-0.01,0.68
1.60,0.11,-0.05,0.80,0.00,0.69
1.36,-0.15,-0.49,0.80,0.00,0.69
1.57,-0.08,-0.32,0.80,0.00,0.69
1.60,-0.21,-0.32,0.80,-0.00,0.70
1.68,-0.20,-0.69,0.80,-0.00,0.69
1.76,0.15,-0.67,0.79,-0.00,0.69
1.44,-0.14,-0.64,0.80,-0.01,0.70
2.18,0.43,-0.67,0.80,0.00,0.69
1.68,-0.24,-0.41,0.80,-0.00,0.69
2.17,0.78,-0.58,0.78,-0.01,0.70
2.08,-0.21,-0.72,0.81,-0.01,0.69
1.47,-0.09,-1.28,0.80,-0.00,0.69
0.78,-1.77,-2.06,0.80,0.01,0.69
1.04,-2.21,-3.08,0.79,0.01,0.70
0.67,-4.96,-5.27,0.78,0.02,0.70
1.27,-6.31,-6.26,0.78,0.01,0.69
0.47,-8.76,-7.85,0.80,0.01,0.69
0.98,-16.41,-10.61,0.82,-0.00,0.70
