gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
0.63,-0.29,0.24,0.85,-0.13,0.60
0.24,-0.79,-0.15,0.85,-0.12,0.59
-0.03,-1.92,-1.40,0.85,-0.12,0.60
0.15,-3.51,-2.14,0.85,-0.11,0.58
0.67,-6.11,-1.59,0.87,-0.12,0.57
-0.47,-8.90,-1.77,0.87,-0.14,0.58
-2.78,-11.88,-4.14,0.86,-0.14,0.59
-4.47,-15.66,-7.48,0.85,-0.13,0.60
-5.36,-18.75,-10.64,0.84,-0.11,0.60
-5.57,-20.82,-13.21,0.84,-0.10,0.60
-7.36,-23.05,-16.17,0.85,-0.11,0.60
-6.05,-22.99,-18.23,0.84,-0.11,0.60
-6.92,-23.04,-19.10,0.86,-0.13,0.58
-6.12,-22.23,-18.95,0.87,-0.13,0.58
-6.37,-21.36,-17.89,0.88,-0.13,0.56
-5.74,-20.31,-17.69,0.88,-0.12,0.55
-3.68,-18.37,-17.04,0.89,-0.11,0.55
-1.56,-13.88,-15.10,0.89,-0.12,0.56
-1.30,-12.31,-12.81,0.89,-0.12,0.56
-1.59,-13.04,-12.50,0.88,-0.12,0.55
-1.25,-14.15,-13.33,0.88,-0.10,0.55
-0.82,-14.38,-14.89,0.88,-0.10,0.55
-0.43,-13.42,-14.53,0.88,-0.10,0.55
-0.26,-13.18,-13.89,0.89,-0.10,0.54
0.49,-12.79,-13.34,0.89,-0.10,0.54
0.72,-13.63,-13.18,0.93,-0.11,0.51
-0.41,-12.05,-11.79,0.91,-0.11,0.53
-0.87,-11.31,-11.53,0.90,-0.10,0.54
-1.47,-10.08,-10.47,0.90,-0.10,0.53
-2.08,-8.90,-9.24,0.90,-0.10,0.54
-4.08,-9.82,-8.64,0.90,-0.12,0.53
-5.85,-10.93,-8.92,0.91,-0.12,0.52
-7.80,-11.18,-7.73,0.91,-0.12,0.52
-10.43,-11.30,-5.51,0.93,-0.13,0.52
-11.02,-13.91,-3.34,0.93,-0.13,0.52
-13.51,-11.39,-1.56,0.93,-0.15,0.52
-10.96,-9.74,1.74,0.93,-0.14,0.51
-8.55,-9.21,3.82,0.92,-0.13,0.50
-7.18,-7.57,6.27,0.92,-0.11,0.52
-7.44,-7.36,6.41,0.92,-0.08,0.52
-5.88,-6.64,5.05,0.90,-0.07,0.52
-5.44,-5.73,6.64,0.92,-0.09,0.53
-7.02,-7.74,7.97,0.91,-0.09,0.51
-6.72,-5.40,7.85,0.90,-0.08,0.51
-4.44,-2.92,7.33,0.89,-0.07,0.51
-5.01,-0.81,7.19,0.89,-0.09,0.51
-4.79,0.85,7.25,0.89,-0.07,0.51
-5.65,-0.15,6.24,0.90,-0.10,0.51
-4.61,-1.05,5.51,0.90,-0.09,0.50
-3.80,-1.15,5.02,0.90,-0.09,0.51
-3.63,1.36,4.37,0.90,-0.08,0.52
-2.99,1.97,4.76,0.90,-0.10,0.51
-2.31,2.79,4.24,0.90,-0.09,0.50
-2.21,2.64,3.97,0.90,-0.10,0.51
-1.62,1.92,3.48,0.90,-0.10,0.52
-1.16,2.52,3.05,0.90,-0.10,0.52
-0.67,2.89,2.47,0.90,-0.11,0.50
-0.35,2.84,2.11,0.90,-0.10,0.51
0.14,2.38,1.30,0.90,-0.11,0.52
0.44,2.66,1.39,0.90,-0.10,0.51
0.40,2.70,0.73,0.90,-0.12,0.51
0.60,2.96,0.47,0.90,-0.11,0.51
1.19,3.24,0.61,0.90,-0.12,0.50
0.87,3.47,0.85,0.91,-0.13,0.50
0.31,2.99,0.27,0.91,-0.11,0.50
0.56,3.13,-0.29,0.90,-0.10,0.51
1.37,3.30,-0.27,0.90,-0.10,0.52
1.50,3.24,0.26,0.90,-0.12,0.51
1.76,2.96,-0.35,0.90,-0.12,0.51
1.85,2.76,-0.52,0.89,-0.09,0.51
2.50,2.89,-1.07,0.90,-0.10,0.51
2.44,2.85,-1.44,0.90,-0.11,0.52
3.01,2.90,-2.06,0.89,-0.10,0.51
2.76,2.34,-2.31,0.89,-0.10,0.52
2.81,1.36,-3.34,0.88,-0.09,0.54
3.94,0.15,-4.67,0.88,-0.08,0.54
6.31,-0.44,-5.83,0.89,-0.06,0.50
10.58,-2.87,-9.83,0.88,-0.03,0.49
16.67,-4.12,-14.84,0.85,0.03,0.49
18.32,-1.42,-17.63,0.82,0.07,0.54
20.70,-1.21,-17.71,0.79,0.10,0.55
22.87,-0.03,-21.80,0.79,0.06,0.54
26.66,6.64,-23.45,0.88,-0.03,0.51
20.67,28.75,-19.44,0.95,-0.10,0.46
20.40,29.04,-9.18,1.01,-0.19,0.49
18.95,23.85,-5.57,0.99,-0.16,0.50
