gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
2.18,1.27,0.20,0.85,-0.04,0.62
2.02,1.18,0.05,0.85,-0.04,0.60
1.60,1.27,-0.12,0.86,-0.04,0.61
1.37,0.79,-0.52,0.85,-0.04,0.62
1.13,0.09,-0.78,0.84,-0.05,0.61
1.07,0.09,-0.50,0.84,-0.05,0.61
0.95,0.95,-0.61,0.84,-0.04,0.62
0.72,1.79,-0.60,0.84,-0.04,0.62
0.55,2.17,-0.55,0.84,-0.04,0.62
0.58,2.12,-0.70,0.84,-0.04,0.61
0.43,1.85,-0.53,0.85,-0.04,0.63
0.40,1.56,-0.43,0.85,-0.03,0.62
0.55,1.34,-0.72,0.85,-0.03,0.61
0.95,1.42,-0.05,0.85,-0.04,0.61
0.40,1.56,0.03,0.85,-0.04,0.62
0.50,1.33,0.05,0.85,-0.04,0.62
0.60,1.33,-0.11,0.85,-0.03,0.62
0.55,1.50,0.14,0.85,-0.04,0.62
0.63,1.15,0.23,0.85,-0.04,0.63
0.96,1.18,-0.12,0.84,-0.04,0.63
0.76,1.34,0.17,0.85,-0.04,0.62
0.95,1.24,0.20,0.85,-0.05,0.63
0.93,0.75,0.05,0.85,-0.04,0.63
0.81,0.82,0.08,0.84,-0.04,0.61
1.11,0.61,-0.09,0.85,-0.04,0.62
1.42,0.69,0.08,0.85,-0.04,0.62
1.42,0.41,0.08,0.85,-0.04,0.62
1.59,-0.03,-0.11,0.84,-0.04,0.61
1.88,-0.34,-0.26,0.85,-0.04,0.62
1.95,-0.38,0.18,0.85,-0.04,0.62
1.25,-1.10,0.08,0.85,-0.05,0.61
0.15,-2.64,-0.70,0.84,-0.05,0.62
-1.56,-5.59,-1.33,0.83,-0.04,0.62
-2.84,-13.66,-3.45,0.84,-0.04,0.57
-3.24,-22.98,-5.50,0.87,-0.00,0.57
-7.42,-39.24,-13.77,0.85,-0.01,0.60
-11.51,-59.77,-30.84,0.80,0.01,0.65
-11.19,-71.27,-47.34,0.79,0.05,0.65
-3.69,-67.30,-56.24,0.82,0.05,0.63
5.02,-56.14,-49.76,0.87,-0.01,0.56
1.39,-44.14,-39.10,0.91,-0.04,0.56
-1.02,-40.69,-35.65,0.90,-0.06,0.54
0.73,-43.22,-41.31,0.86,-0.02,0.65
23.01,-39.13,-53.73,0.88,0.11,0.48
19.07,-27.65,-35.76,0.94,-0.05,0.49
7.13,-31.91,-27.56,0.95,-0.10,0.52
0.75,-26.70,-24.96,0.93,-0.04,0.52
1.98,-23.01,-25.60,0.90,0.02,0.53
4.56,-20.46,-23.89,0.90,0.04,0.52
3.18,-21.24,-20.08,0.91,0.04,0.53
1.07,-22.24,-17.47,0.91,0.03,0.52
2.02,-18.85,-15.59,0.93,0.03,0.51
3.71,-18.31,-13.15,0.93,0.03,0.49
2.40,-22.37,-14.53,0.91,0.06,0.53
-0.56,-27.92,-21.01,0.90,0.06,0.52
4.17,-16.17,-19.57,0.89,0.06,0.45
5.74,-6.96,-12.85,0.91,0.04,0.49
3.56,-3.94,-10.23,0.93,0.04,0.49
5.60,3.30,-8.27,0.91,0.05,0.49
5.34,2.50,-7.92,0.91,0.05,0.54
2.52,-7.31,-7.47,0.92,0.06,0.53
4.14,-12.78,-8.73,0.92,0.08,0.50
7.36,-13.60,-9.68,0.92,0.09,0.50
7.60,-13.19,-10.05,0.92,0.08,0.50
6.14,-11.42,-9.21,0.91,0.08,0.49
5.85,-7.42,-7.22,0.92,0.07,0.48
5.30,-3.62,-4.53,0.93,0.05,0.48
3.45,-1.63,-1.79,0.92,0.04,0.48
2.84,-1.22,0.50,0.93,0.05,0.48
3.36,-0.08,3.40,0.93,0.06,0.47
2.96,0.06,6.34,0.93,0.06,0.48
1.57,0.92,9.37,0.92,0.05,0.48
-0.31,2.72,10.23,0.90,0.07,0.49
-2.29,7.21,10.05,0.90,0.07,0.51
-3.98,13.25,12.56,0.91,0.06,0.52
-7.05,19.74,16.84,0.91,0.05,0.52
-10.15,26.63,20.31,0.91,0.04,0.54
-12.56,34.38,22.98,0.92,0.03,0.57
-12.69,37.65,24.02,0.91,0.06,0.55
-9.25,34.46,22.46,0.92,0.08,0.49
-0.46,31.07,22.27,0.96,0.07,0.44
1.50,26.40,23.65,0.97,0.04,0.43
1.13,23.21,24.18,0.97,0.02,0.45
-0.35,21.68,25.62,0.96,0.01,0.48
-1.80,21.33,29.01,0.94,-0.02,0.52
-1.63,24.17,33.71,0.92,-0.04,0.52
-6.40,27.73,40.67,0.91,-0.04,0.53
-8.89,30.98,43.65,0.87,-0.02,0.53
-10.18,31.24,39.97,0.84,0.01,0.56
-5.04,29.76,34.82,0.85,0.03,0.51
-3.77,16.46,20.00,0.81,0.00,0.58
-1.44,16.50,18.40,0.87,0.02,0.58
-2.52,13.45,20.60,0.88,-0.03,0.56
-4.52,9.59,18.79,0.88,-0.02,0.57
-4.95,7.53,14.64,0.88,-0.00,0.56
-5.30,5.83,12.17,0.88,-0.01,0.57
-4.99,4.63,11.56,0.88,-0.01,0.57
-5.62,4.29,13.57,0.88,-0.01,0.58
-4.37,2.69,12.82,0.86,-0.01,0.57
-2.72,0.73,10.43,0.85,-0.02,0.58
-1.33,0.23,7.89,0.86,-0.03,0.57
-1.24,-0.79,5.40,0.87,-0.03,0.57
-1.16,0.15,5.91,0.87,-0.04,0.56
-1.63,0.72,5.71,0.87,-0.04,0.56
-2.03,0.02,4.11,0.87,-0.05,0.57
-0.96,-0.43,2.50,0.87,-0.04,0.56
0.34,-0.66,1.24,0.88,-0.03,0.56
2.06,-1.80,0.21,0.87,-0.04,0.55
2.81,-2.14,-1.36,0.87,-0.04,0.57
5.31,-1.40,-2.55,0.86,-0.02,0.55
